institution_id,course_id
KKOM-063,KKOM-CET-016
KKOM-092,KKOM-CET-016
KKOM-027,KKOM-CET-017
KKOM-038,KKOM-CET-017
KKOM-040,KKOM-CET-017
KKOM-093,KKOM-CET-017
KKOM-001,KKOM-CET-018
KKOM-024,KKOM-CET-019
KKOM-037,KKOM-CET-019
KKOM-064,KKOM-CET-019
KKOM-094,KKOM-CET-019
KKOM-018,KKOM-CET-020
KKOM-023,KKOM-CET-020
KKOM-080,KKOM-CET-020
KKOM-015,KKOM-CET-021
KKOM-027,KKOM-CET-021
KKOM-002,KKOM-CET-022
KKOM-031,KKOM-CET-023
KKOM-033,KKOM-CET-023
KKOM-003,KKOM-CET-024
KKOM-004,KKOM-CET-024
KKOM-005,KKOM-CET-024
KKOM-020,KKOM-CET-024
KKOM-029,KKOM-CET-024
KKOM-030,KKOM-CET-024
KKOM-039,KKOM-CET-024
KKOM-043,KKOM-CET-024
KKOM-051,KKOM-CET-024
KKOM-052,KKOM-CET-024
KKOM-059,KKOM-CET-024
KKOM-061,KKOM-CET-024
KKOM-067,KKOM-CET-024
KKOM-072,KKOM-CET-024
KKOM-087,KKOM-CET-024
KKOM-096,KKOM-CET-024
KKOM-002,KKOM-CET-025
KKOM-004,KKOM-CET-025
KKOM-014,KKOM-CET-025
KKOM-015,KKOM-CET-025
KKOM-026,KKOM-CET-025
KKOM-028,KKOM-CET-025
KKOM-029,KKOM-CET-025
KKOM-038,KKOM-CET-025
KKOM-041,KKOM-CET-025
KKOM-044,KKOM-CET-025
KKOM-051,KKOM-CET-025
KKOM-056,KKOM-CET-025
KKOM-061,KKOM-CET-025
KKOM-062,KKOM-CET-025
KKOM-067,KKOM-CET-025
KKOM-074,KKOM-CET-025
KKOM-082,KKOM-CET-025
KKOM-086,KKOM-CET-025
KKOM-087,KKOM-CET-025
KKOM-089,KKOM-CET-025
KKOM-090,KKOM-CET-025
KKOM-096,KKOM-CET-025
KKOM-101,KKOM-CET-025
KKOM-025,KKOM-CET-026
KKOM-068,KKOM-CET-026
KKOM-003,KKOM-CET-027
KKOM-004,KKOM-CET-027
KKOM-005,KKOM-CET-027
KKOM-008,KKOM-CET-027
KKOM-013,KKOM-CET-027
KKOM-015,KKOM-CET-027
KKOM-016,KKOM-CET-027
KKOM-017,KKOM-CET-027
